Ticker,open,high,low,close,volume
MET,66.72,67.74,66.24,66.88,3267246
META,193.99,196.92,188.4,194.25,30574242
MGM,35.06,35.57,34.58,35.31,3426887
MHK,139.81,142.15,138.54,141.66,432395
MKC,90.4,90.48,89.17,89.73,784615
MKTX,283.9,288.79,280.86,281.43,164529
MLM,348.05,350.4018,344.96,347.77,301654
MMC,158.64,159.23,157.62,157.98,1015852
MMI,40.41,40.59,39.61,40.06,181361
MMM,146.39,147.3,145.65,146.21,1575658
MNST,90.0,91.85,89.8,91.36,3528653
MO,53.98,54.16,53.505,53.59,8198193
MOH,284.4,286.92,281.88,286.65,309638
MON,9.8,9.8,9.8,9.8,573
MOS,60.39,60.74,58.78,59.56,7728513
MPC,105.83,110.31,105.81,109.39,7557254
MPWR,470.48,475.0,456.23,466.1,234532
MRK,90.17,90.655,89.69,89.84,8336893
MRNA,137.99,143.0,136.71,140.0,3139990
MRO,31.66,32.09,30.96,31.41,16746896
MS,85.2,86.28,84.74,84.87,4022419
MSCI,443.28,446.16,435.61,438.66,355365
MSFT,272.06,274.18,267.22,268.75,22400342
MSI,227.14,227.9,220.16,221.25,574161
MTB,179.0,181.79,177.73,177.86,784531
MTCH,84.45,85.96,82.7436,82.92,1673209
MTD,1306.91,1321.27,1290.975,1304.09,82025
MU,70.742,72.14,70.01,70.45,13198700
MUR,44.3,44.38,42.41,43.41,1689714
NAVI,15.57,15.808,15.25,15.52,1249270
NBR,183.19,186.83,176.9774,186.5,166927
NCLH,15.81,16.005,15.44,15.75,11256602
NCR,34.71,35.13,33.98,34.34,1297962
NDAQ,155.23,156.74,153.56,154.11,676090
NDSN,222.65,223.14,220.48,221.26,117767
NE,36.9,37.87,36.225,36.7,1003175
NEE,81.19,81.49,80.0736,80.19,12716926
NEM,68.18,68.39,67.09,67.86,3517328
NFLX,202.09,203.87,195.38,197.14,5372043
NI,31.69,32.08,31.62,31.76,3560252
NKE,121.5,122.14,119.4312,120.23,3963606
NKTR,3.71,3.76,3.47,3.55,2049243
NLOK,24.85,24.87,24.61,24.65,2803125
NLSN,25.35,25.44,25.08,25.34,1971715
NOC,479.27,483.94,477.46,478.86,586688
NOV,21.21,21.365,20.96,21.05,2862841
NOW,497.02,501.01,487.4,492.54,944318
NRG,45.66,46.59,45.33,46.23,2463076
NSC,245.64,246.0,242.52,244.68,721683
NTAP,71.96,72.41,70.73,70.87,1280001
NTRS,111.08,112.54,110.18,110.25,352985
NUE,130.46,130.66,127.56,129.47,1633305
NVDA,191.39,193.37,185.642,187.86,42240615
NVR,4440.0,4447.89,4382.635,4418.51,13774
NWL,21.21,21.5,20.905,21.39,1800197
NWS,17.69,17.735,17.45,17.69,476404
NWSA,17.39,17.44,17.16,17.38,2115295
NXPI,183.99,184.5579,177.125,180.01,3169105
NYT,34.65,34.72,34.2,34.35,632844
O,67.79,67.79,66.44,66.98,4764052
ODFL,267.66,270.37,260.17,269.05,987110
ODP,37.58,38.5,36.92,38.32,540030
OGN,37.35,37.71,37.3,37.47,905740
OI,17.07,17.22,16.62,16.68,1239501
OKE,67.71,67.8862,66.84,67.14,1525645
OMC,71.88,72.83,71.42,72.73,1482699
ON,67.16,67.185,64.08,66.01,21894799
ORCL,72.63,74.84,72.63,72.97,5274706
ORLY,634.47,639.56,629.03,637.8,314654
OTIS,75.53,76.06,75.08,75.2,1019948
OXY,70.1,70.73,68.475,69.61,25654112
PARA,30.82,31.07,30.34,30.42,6316502
PAYC,302.54,304.6,295.85,302.01,403982
PAYX,127.04,127.45,125.21,125.93,1210716
PBI,4.86,4.94,4.755,4.92,2105211
PCAR,89.0,89.29,88.48,88.64,1674469
PCG,12.51,12.56,12.08,12.21,21437072
PDCO,31.18,31.185,30.68,30.78,480265
PEAK,28.78,28.86,28.301,28.49,3031718
PEG,68.84,68.95,68.26,68.39,2209973
PENN,33.4,34.06,32.835,33.86,4075295
PEP,166.46,167.62,164.725,165.54,3447947
PFE,53.19,53.715,53.0,53.26,16544398
PFG,71.41,72.3,70.84,71.73,1042458
PG,147.37,147.64,144.59,145.32,4751096
PGR,120.27,120.545,119.66,120.07,1992438
PH,278.69,280.54,275.93,277.8,574128
PHM,45.02,45.6,44.61,45.12,1587058
PKG,160.08,161.21,158.88,160.84,547444
PKI,148.75,150.355,147.98,148.84,433958
PLD,128.74,129.48,127.28,127.87,3212351
PLL,60.49,60.96,56.98,59.0,377058
PM,106.95,107.72,106.0116,106.37,5633161
PNC,174.99,176.33,172.82,173.08,924790
PNR,51.06,51.4,50.815,50.88,632727
PNW,77.71,78.21,77.35,78.1,329225
POOL,410.0,413.335,404.4,411.61,318659
PPG,126.17,128.535,125.36,127.13,687831
PPL,30.0,30.1,29.8,29.97,6456551
PRGO,39.76,39.76,39.17,39.31,658729
PRU,105.08,106.8,104.0,105.33,1431472
PSA,332.65,332.65,321.88,322.51,848156
PSX,104.88,106.96,104.71,106.02,3046037
PTC,120.0,120.58,117.74,118.47,504200
PVH,72.01,72.615,70.67,71.07,1299590
PWR,134.57,138.46,130.88,131.4,2312944
PXD,283.16,283.18,277.945,278.74,2118712
PYPL,87.96,88.99,86.4,86.81,12471993
QCOM,144.95,144.97,139.92,140.44,7238659
QRVO,111.44,112.505,109.26,109.83,1109836
R,83.42,84.37,82.32,83.84,776127
RAD,6.27,6.44,6.03,6.36,2549189
RCL,57.01,57.4716,55.9,56.8,1827926
RE,282.92,287.47,280.27,285.39,173118
REG,66.89,66.94,64.77,64.95,859382
REGN,625.48,627.925,599.68,609.03,941235
RF,21.96,22.16,21.7,21.78,4858544
RHI,90.76,91.2,89.88,90.75,907377
RIG,4.25,4.315,4.145,4.23,10124802
RJF,98.11,99.37,96.4,97.36,1299699
RL,105.84,105.945,104.365,105.83,835742
RMD,212.96,214.08,209.18,210.85,485954
ROK,221.42,222.17,212.985,214.86,1197235
ROL,35.16,35.43,34.99,35.04,1216310
ROP,432.79,432.79,423.34,425.21,787040
ROST,82.92,83.25,81.12,81.33,2676044
RRC,35.56,36.115,34.87,35.71,4122110
RSG,135.02,135.1,133.14,133.24,1072310
RTX,96.99,97.49,96.39,97.21,3080342
S,24.21,24.74,22.72,23.07,4406068
SAI,5.0,5.84,4.95,5.13,56923
SBAC,331.23,335.59,327.24,333.67,446136
SBNY,220.97,226.59,219.675,223.35,826288
SBUX,79.7,81.2999,78.53,78.98,7239429
SCHW,71.09,71.425,67.88,68.06,8687323
SE,81.85,85.2,80.51,81.25,5123535
SEDG,311.26,314.52,299.61,306.88,954846
SEE,63.21,64.01,62.5,63.59,677261
SHW,268.99,275.89,268.18,275.03,1220011
SIG,63.88,64.22,61.53,63.45,1082113
SII,38.61,38.81,37.7548,38.05,93846
SIVB,492.61,496.83,481.07,483.26,291073
SJM,123.54,123.7157,122.04,123.26,1275239
SLB,47.79,48.0,46.88,47.22,6696970
SLG,58.82,59.26,58.04,58.26,990544
SLM,19.58,19.88,19.35,19.53,3066773
SNA,220.89,222.29,220.2,221.56,202085
SNPS,332.13,335.29,327.22,328.79,503764
SO,75.49,75.97,75.27,75.35,4674499
SPG,110.75,111.1,109.1104,109.62,1917962
SPGI,336.82,344.389,336.82,338.64,1815800
SRCL,50.0,50.2,49.46,49.76,627069
SRE,160.77,162.1,160.385,161.17,857152
STE,221.65,224.02,219.021,221.9,324735
STR,30.75,30.9,27.665,28.76,349091
STT,72.43,73.06,71.21,71.41,1220922
STX,83.69,84.3794,82.13,82.54,1175451
STZ,244.53,247.17,243.83,245.87,509765
