Date,Time,Ticker,open,high,low,close,volume
20220705,12:46:00,AAPL,139.3423,139.39,139.12,139.1669,121817
20220705,12:47:00,AAPL,139.1699,139.26,139.11,139.225,90288
20220705,12:48:00,AAPL,139.22,139.25,139.17,139.1859,56045
20220705,12:49:00,AAPL,139.195,139.2075,139.05,139.125,75793
20220705,12:50:00,AAPL,139.125,139.15,139.05,139.08,83438
20220705,12:51:00,AAPL,139.075,139.1699,139.01,139.1413,94644
20220705,12:52:00,AAPL,139.1401,139.15,138.94,139.125,105009
20220705,12:53:00,AAPL,139.12,139.17,139.03,139.05,52284
20220705,12:54:00,AAPL,139.05,139.15,139.01,139.09,91219
20220705,12:55:00,AAPL,139.085,139.13,139.055,139.08,53238
20220705,12:56:00,AAPL,139.075,139.08,138.97,139.0519,82318
20220705,12:57:00,AAPL,139.055,139.16,138.995,139.06,83051
20220705,12:58:00,AAPL,139.055,139.07,139.01,139.03,43818
20220705,12:59:00,AAPL,139.0211,139.0901,138.95,138.965,73638
20220705,13:00:00,AAPL,138.97,139.08,138.935,139.045,73223
20220705,13:01:00,AAPL,139.0401,139.0981,138.99,139.0,69281
20220705,13:02:00,AAPL,139.0,139.07,138.87,139.03,102092
20220705,13:03:00,AAPL,139.03,139.08,138.99,139.045,78961
20220705,13:04:00,AAPL,139.05,139.22,139.015,139.1999,120746
20220705,13:05:00,AAPL,139.216,139.24,138.97,139.09,130365
20220705,13:06:00,AAPL,139.09,139.09,139.005,139.025,53942
20220705,13:07:00,AAPL,139.03799999999998,139.06,138.94,138.97,71568
20220705,13:08:00,AAPL,138.965,139.11,138.94,139.1,82180
20220705,13:09:00,AAPL,139.11,139.18,139.08,139.145,66932
20220705,13:10:00,AAPL,139.135,139.2601,139.1101,139.25,94356
20220705,13:11:00,AAPL,139.25,139.285,139.17,139.2399,104573
20220705,13:12:00,AAPL,139.2301,139.38,139.23,139.37,97274
20220705,13:13:00,AAPL,139.36,139.39,139.255,139.3101,123067
20220705,13:14:00,AAPL,139.3144,139.35,139.28,139.35,43938
20220705,13:15:00,AAPL,139.35,139.4599,139.33,139.38,93240
20220705,13:16:00,AAPL,139.4,139.43,139.3199,139.364,62835
20220705,13:17:00,AAPL,139.37,139.465,139.35,139.46,104184
20220705,13:18:00,AAPL,139.45,139.605,139.44,139.57,126053
20220705,13:19:00,AAPL,139.56,139.71,139.5516,139.67,144896
20220705,13:20:00,AAPL,139.675,139.75,139.59,139.705,101122
20220705,13:21:00,AAPL,139.7,139.74,139.6,139.725,80759
20220705,13:22:00,AAPL,139.725,139.81,139.71,139.78,108057
20220705,13:23:00,AAPL,139.785,139.84,139.77,139.81,81305
20220705,13:24:00,AAPL,139.82,139.85,139.745,139.785,99585
20220705,13:25:00,AAPL,139.785,139.9,139.7716,139.84,89865
20220705,13:26:00,AAPL,139.85,139.91,139.83,139.88,93658
20220705,13:27:00,AAPL,139.88,139.911,139.77,139.89,103635
20220705,13:28:00,AAPL,139.889,139.894,139.81,139.84,50123
20220705,13:29:00,AAPL,139.86,139.895,139.78,139.84,74353
20220705,13:30:00,AAPL,139.83,139.88,139.74,139.76,109805
20220705,13:31:00,AAPL,139.75,139.795,139.69,139.79,102332
20220705,13:32:00,AAPL,139.795,139.795,139.67,139.719,105112
20220705,13:33:00,AAPL,139.73,139.82,139.66,139.7894,101917
20220705,13:34:00,AAPL,139.785,139.88,139.77,139.87,114347
