,Unnamed: 0,Ticker,open,high,low,close,volume,Date
179034,375,MMM,58.6,62.76,58.5,60.37,9272185,20081027
179643,361,MMM,72.0,72.2,71.26,71.39,1958900,20051010
180230,353,MMM,80.12,81.82,79.86,81.08,4940900,20041203
180831,367,MMM,174.79,175.47,172.2,175.37,7513632,20191220
181370,302,MMM,41.9375,42.5625,41.5,42.5625,4376200,19981016
181962,383,MMM,170.14,170.45,168.62,168.94,1439679,20160420
182555,339,MMM,62.805,62.995,62.265,62.495,5096000,20030203
183159,374,MMM,85.82,87.23,85.77,87.13,3255900,20070627
183751,351,MMM,78.26,79.25,77.91,79.07,4120700,20040928
184349,365,MMM,81.85,82.97,81.37,82.6,4281500,20060420
184959,374,MMM,212.0,212.5,209.38,209.78,2240166,20170627
185509,302,MMM,36.375,37.875,36.375,37.375,2564200,19981002
186020,303,MMM,38.0625,38.3125,36.9375,37.09375,2735000,19990127
186595,365,MMM,193.42,195.33,193.3,194.75,6175572,20210625
187203,370,MMM,165.49,167.4299,164.5,166.76,2114937,20190923
187785,341,MMM,76.98,77.73,76.75,77.51,2050200,20031121
188366,351,MMM,84.65,84.68,83.85,83.92,2235600,20040914
188967,368,MMM,143.36,144.48,141.71,143.61,2750414,20200422
189495,290,MMM,47.25,47.3125,46.59375,46.84375,2101400,19980320
190077,377,MMM,75.12,76.0,74.3007,74.42,3344366,20090923
190709,383,MMM,167.71,167.99,166.1,166.63,1729301,20160408
191347,384,MMM,129.69,130.41,129.59,130.35,1576647,20131121
191992,390,MMM,162.42,163.07,161.84,161.9,1978568,20150520
192623,375,MMM,58.68,59.92,58.46,59.79,3911496,20090710
193247,375,MMM,202.78,203.27,201.85,202.46,1174724,20170828
193877,384,MMM,87.0,87.2781,86.28,86.67,2644054,20110104
194508,383,MMM,81.93,82.41,81.65,82.18,3989680,20100317
195119,364,MMM,199.07,200.7,197.435,197.52,1332499,20210802
195705,348,MMM,81.98,83.46,81.6,83.05,2789300,20040727
196312,375,MMM,199.27,201.4,198.69,200.36,2265781,20180517
196870,313,MMM,43.875,47.3125,43.75,44.75,4581000,20000303
197411,324,MMM,55.3125,56.25,54.5,56.15625,4344400,20010110
198002,371,MMM,166.19,167.315,165.565,165.7,2661694,20190710
198616,375,MMM,194.52,196.7,192.35,195.68,3425892,20180503
199218,357,MMM,77.8,77.8,76.35,77.06,3465200,20050520
199772,321,MMM,46.15625,47.15625,45.875,45.875,1789600,20001009
200304,313,MMM,43.46875,44.59375,42.9375,42.9375,4068200,20000317
200846,324,MMM,58.9375,59.75,57.78125,59.5,4060400,20010104
201442,376,MMM,88.59,89.49,87.59,87.62,3175100,20070828
202048,364,MMM,201.09,202.77,200.38,202.32,1607100,20210816
202671,384,MMM,85.72,87.33,85.72,87.15,3475188,20110110
203301,382,MMM,81.16,81.6801,80.86,81.0,2852222,20100303
203923,375,MMM,206.66,207.63,206.07,207.37,1264439,20170814
204506,336,MMM,59.71,60.95,59.605,60.315,2089400,20011226
205107,377,MMM,86.27,86.76,85.39,85.93,3468496,20070814
205731,382,MMM,89.87,90.9,89.7156,90.55,5637773,20101021
206370,390,MMM,160.25,161.4,160.06,160.6,2025537,20150508
206997,371,MMM,76.96,77.51,76.45,76.97,4650800,20070425
207574,336,MMM,57.0,57.5,56.65,57.085,2706600,20020212
208175,380,MMM,171.83,172.6,170.99,171.23,1369607,20160622
208808,381,MMM,87.15,87.94,87.15,87.56,2189281,20120206
209369,310,MMM,46.75,47.6875,46.6875,47.625,1486200,19991007
