open,high,low,close,volume,Date,Time
2268.06,2271.64,2268.06,2268.63,2330,20220706,14:01:00
2267.95,2270.1399,2265.64,2266.21,1840,20220706,14:02:00
2268.0,2276.185,2268.0,2275.1,1810,20220706,14:03:00
2272.37,2273.12,2272.17,2273.12,1100,20220706,14:04:00
2271.41,2276.755,2271.41,2276.755,1030,20220706,14:05:00
2279.3,2284.5899,2279.3,2282.355,2876,20220706,14:06:00
2280.34,2291.59,2280.25,2291.59,3947,20220706,14:07:00
2289.9101,2292.505,2289.9101,2290.29,2060,20220706,14:08:00
2290.5,2290.5,2287.22,2288.6,4997,20220706,14:09:00
2287.57,2287.6099,2284.06,2284.06,880,20220706,14:10:00
2283.905,2284.725,2281.1104,2284.725,4190,20220706,14:11:00
2283.58,2286.58,2281.45,2281.63,3450,20220706,14:12:00
2281.43,2283.1899,2273.24,2276.895,1700,20220706,14:13:00
2274.32,2274.32,2272.84,2274.03,480,20220706,14:14:00
2278.735,2280.36,2278.01,2278.01,2410,20220706,14:15:00
2275.2824,2279.84,2274.6,2279.47,2560,20220706,14:16:00
2278.12,2278.12,2273.9919,2276.88,600,20220706,14:17:00
2280.0,2285.495,2278.49,2285.445,1305,20220706,14:18:00
2284.2399,2284.2399,2280.89,2280.89,1880,20220706,14:19:00
2281.08,2283.09,2279.54,2282.825,880,20220706,14:20:00
2283.255,2283.8,2279.1901,2280.11,1780,20220706,14:21:00
2279.42,2283.8,2279.42,2283.8,1385,20220706,14:22:00
2284.51,2285.78,2283.145,2285.25,1874,20220706,14:23:00
2288.41,2290.0999,2284.99,2287.49,1760,20220706,14:24:00
2284.57,2285.0399,2282.74,2285.0,1192,20220706,14:25:00
2283.745,2288.1,2282.4301,2288.1,1360,20220706,14:26:00
2287.555,2287.555,2287.555,2287.555,100,20220706,14:27:00
2286.8,2288.1,2286.0,2287.16,4510,20220706,14:28:00
2285.2801,2287.89,2285.2801,2286.24,1705,20220706,14:29:00
2286.46,2286.46,2284.11,2284.725,1880,20220706,14:30:00
2284.71,2287.185,2283.73,2287.185,1500,20220706,14:31:00
2288.24,2289.61,2286.22,2288.43,5437,20220706,14:32:00
