Ticker,date,root,expiration,strike,option_type,OpenPrice,HighPrice,LowPrice,ClosePrice,TotalVolume,bid_size,bid,ask_size,ask,underlying_bid,underlying_ask,implied_underlying_price,active_underlying_price,implied_volatility,delta,gamma,theta,vega,rho,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
.SPX20220520C2750,20220420,SPX,20220520,2750.0,C,0.0,0.0,0.0,0.0,0,15,1710.5,15,1719.5,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9997,0.0,-0.0122,0.0143,223.9519,15,1710.6,15,1722.4,4434.6602,4694.96,0.0,0,
.SPX20220520P2750,20220420,SPX,20220520,2750.0,P,0.55,0.55,0.5,0.55,833,3530,0.45,1364,0.55,4467.9902,4469.3198,4465.75,4468.6401,0.6113,-0.0021,0.0,-0.086,0.0837,-0.7972,1689,0.45,1266,0.6,4434.6602,4694.96,0.5454,4937,
.SPX20220520C2800,20220420,SPX,20220520,2800.0,C,0.0,0.0,0.0,0.0,0,15,1660.6,15,1669.6,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9988,0.0,-0.0476,0.0512,227.6889,15,1660.9,15,1672.7,4434.6602,4694.96,0.0,3,
.SPX20220520P2800,20220420,SPX,20220520,2800.0,P,0.55,0.6,0.5,0.6,841,3463,0.5,849,0.6,4467.9902,4469.3198,4465.75,4468.6401,0.5959,-0.0023,0.0,-0.093,0.0929,-0.893,1922,0.5,1295,0.65,4434.6602,4694.96,0.5483,10000,
.SPX20220520C2850,20220420,SPX,20220520,2850.0,C,0.0,0.0,0.0,0.0,0,15,1610.7,15,1620.1,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9992,0.0,-0.0305,0.0355,231.916,15,1611.0,15,1622.8,4434.6602,4694.96,0.0,1,
.SPX20220520P2850,20220420,SPX,20220520,2850.0,P,0.65,0.65,0.55,0.65,812,3624,0.55,4029,0.7,4467.9902,4469.3198,4465.75,4468.6401,0.5824,-0.0027,0.0,-0.103,0.1052,-1.0249,2311,0.55,2485,0.75,4434.6602,4694.96,0.6391,2971,
.SPX20220520C2900,20220420,SPX,20220520,2900.0,C,0.0,0.0,0.0,0.0,0,15,1560.5,15,1569.5,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9981,0.0,-0.0702,0.0777,235.5684,30,1559.0,15,1575.2,4434.6602,4694.96,0.0,14,
.SPX20220520P2900,20220420,SPX,20220520,2900.0,P,0.7,0.75,0.43,0.75,583,1402,0.65,2894,0.75,4467.9902,4469.3198,4465.75,4468.6401,0.5682,-0.003,0.0,-0.113,0.1182,-1.1652,538,0.65,1689,0.8,4434.6602,4694.96,0.689,3639,
.SPX20220520C2925,20220420,SPX,20220520,2925.0,C,0.0,0.0,0.0,0.0,0,15,1535.9,15,1545.3,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9976,0.0,-0.0849,0.0938,237.4371,15,1537.9,15,1545.8,4434.6602,4694.96,0.0,22,
.SPX20220520P2925,20220420,SPX,20220520,2925.0,P,0.7,0.8,0.7,0.8,335,125,0.7,1181,0.8,4467.9902,4469.3198,4465.75,4468.6401,0.562,-0.0033,0.0,-0.1195,0.1265,-1.2556,2520,0.65,1624,0.85,4434.6602,4694.96,0.7051,1094,
.SPX20220520C2950,20220420,SPX,20220520,2950.0,C,0.0,0.0,0.0,0.0,0,15,1510.9,15,1519.9,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9991,0.0,-0.0305,0.0382,240.0285,15,1511.1,15,1522.8,4434.6602,4694.96,0.0,38,
.SPX20220520P2950,20220420,SPX,20220520,2950.0,P,0.75,0.75,0.7,0.7,355,2260,0.7,2197,0.85,4467.9902,4469.3198,4465.75,4468.6401,0.5535,-0.0034,0.0,-0.1226,0.1317,-1.3125,2389,0.7,2200,0.9,4434.6602,4694.96,0.7492,1848,
.SPX20220520C2975,20220420,SPX,20220520,2975.0,C,0.0,0.0,0.0,0.0,0,15,1485.7,15,1494.7,4467.9902,4469.3198,4465.75,4468.6401,0.0,0.9991,0.0,-0.0301,0.0386,242.0711,15,1486.3,15,1498.0,4434.6602,4694.96,0.0,0,
.SPX20220520P2975,20220420,SPX,20220520,2975.0,P,0.8,0.85,0.8,0.85,344,2361,0.75,4050,0.9,4467.9902,4469.3198,4465.75,4468.6401,0.5469,-0.0037,0.0,-0.1288,0.1401,-1.4061,671,0.75,867,0.95,4434.6602,4694.96,0.8048,886,
